DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/12/16 16:52:00,AQUA_M-T,Brasil,CEARÁ,CANINDÉ,Caatinga,5,0.7,1.0,-4.38202,-39.45839,20.7
2023/12/16 16:52:00,AQUA_M-T,Brasil,CEARÁ,CARIDADE,Caatinga,16,5.71,0.76,-4.0563,-38.98606,23.6
2023/12/16 16:52:00,AQUA_M-T,Brasil,CEARÁ,CARIDADE,Caatinga,16,5.72,0.76,-4.05499,-38.99202,42.9
2023/12/16 16:52:00,AQUA_M-T,Brasil,CEARÁ,MARANGUAPE,Caatinga,7,5.63,0.71,-4.04654,-38.86762,30.6
2023/12/16 16:52:00,AQUA_M-T,Brasil,CEARÁ,PENTECOSTE,Caatinga,17,4.05,1.0,-3.95791,-39.08078,19.7
2023/12/16 16:49:00,AQUA_M-T,Brasil,CEARÁ,CEDRO,Caatinga,28,6.66,0.62,-6.62359,-38.98549,18.1
2023/12/16 16:52:00,AQUA_M-T,Brasil,CEARÁ,CARNAUBAL,Caatinga,12,2.99,0.93,-4.09214,-40.94643,12.0
2023/12/16 16:49:00,AQUA_M-T,Brasil,CEARÁ,PARAMBU,Caatinga,17,2.41,1.0,-5.99745,-40.60915,11.0
2023/12/16 16:49:00,AQUA_M-T,Brasil,CEARÁ,PARAMBU,Caatinga,17,2.51,1.0,-5.99605,-40.59966,17.5
2023/12/17 15:54:00,AQUA_M-T,Brasil,CEARÁ,BATURITÉ,Caatinga,0,0.0,0.66,-4.33926,-38.86866,41.4
2023/12/17 15:54:00,AQUA_M-T,Brasil,CEARÁ,BATURITÉ,Caatinga,0,0.0,0.48,-4.32091,-38.86238,144.1
2023/12/17 15:54:00,AQUA_M-T,Brasil,CEARÁ,BATURITÉ,Caatinga,0,0.0,0.47,-4.32124,-38.86938,189.3
2023/12/17 15:54:00,AQUA_M-T,Brasil,CEARÁ,IRACEMA,Caatinga,12,2.12,0.42,-5.83272,-38.39512,144.0
2023/12/17 15:54:00,AQUA_M-T,Brasil,CEARÁ,IRACEMA,Caatinga,12,2.12,0.42,-5.83261,-38.39123,186.3
2023/12/17 15:54:00,AQUA_M-T,Brasil,CEARÁ,IRACEMA,Caatinga,16,2.07,0.6,-5.82785,-38.35385,163.7
2023/12/17 15:54:00,AQUA_M-T,Brasil,CEARÁ,IRACEMA,Caatinga,16,2.07,0.74,-5.82765,-38.35729,195.6
2023/12/18 16:34:00,AQUA_M-T,Brasil,CEARÁ,FORTIM,Caatinga,-999,17.14,0.06,-4.41852,-37.87141,7.4
